127.0.0.1 - admin [13/Oct/2022:14:59:22 +0100] "GET /manager/html/sessions?path=/webapp-javaee7&version=&org.apache.catalina.filters.CSRF_NONCE=C6CBEE4B4CB39188A9EFEA4D821AB12B&action=sessionDetail&sessionId=47F641A367938D4D41616CC1CBC9C7EB&sessionType=Primary HTTP/1.1" 200 3125
127.0.0.1 - admin [13/Oct/2022:14:59:30 +0100] "POST /manager/html/sessions?path=/webapp-javaee7&version=&org.apache.catalina.filters.CSRF_NONCE=76F1E9717372F4364BDB9DE494CEF440 HTTP/1.1" 200 3125
127.0.0.1 - admin [13/Oct/2022:14:59:32 +0100] "GET /manager/html/sessions?path=/webapp-javaee7&version=&org.apache.catalina.filters.CSRF_NONCE=C6CBEE4B4CB39188A9EFEA4D821AB12B&action=sessionDetail&sessionId=47F641A367938D4D41616CC1CBC9C7EB&sessionType=Primary HTTP/1.1" 200 3125
127.0.0.1 - admin [13/Oct/2022:14:59:33 +0100] "GET /manager/html/sessions?path=/webapp-javaee7&org.apache.catalina.filters.CSRF_NONCE=C096AE1BD204B3B0882A80CDD002C18E HTTP/1.1" 200 5400
127.0.0.1 - admin [13/Oct/2022:14:59:46 +0100] "POST /manager/html/undeploy?path=/webapp-javaee7&org.apache.catalina.filters.CSRF_NONCE=C096AE1BD204B3B0882A80CDD002C18E HTTP/1.1" 403 3529
127.0.0.1 - admin [13/Oct/2022:14:59:53 +0100] "POST /manager/html/undeploy?path=/webapp-javaee7&org.apache.catalina.filters.CSRF_NONCE=C096AE1BD204B3B0882A80CDD002C18E HTTP/1.1" 403 3529
127.0.0.1 - admin [13/Oct/2022:15:10:42 +0100] "POST /manager/html/undeploy?path=/webapp-javaee7&org.apache.catalina.filters.CSRF_NONCE=C096AE1BD204B3B0882A80CDD002C18E HTTP/1.1" 403 3529
127.0.0.1 - - [13/Oct/2022:15:10:42 +0100] "GET /favicon.ico HTTP/1.1" 200 8192
127.0.0.1 - - [13/Oct/2022:15:10:51 +0100] "GET /favicon.ico HTTP/1.1" 200 8192
127.0.0.1 - - [13/Oct/2022:15:15:58 +0100] "GET /webapp-javaee7/ HTTP/1.1" 200 52
127.0.0.1 - - [13/Oct/2022:15:16:13 +0100] "GET /webapp-javaee7/MyFirstServlet HTTP/1.1" 404 784
127.0.0.1 - - [13/Oct/2022:15:19:29 +0100] "GET /webapp-javaee7/MyFirstServlet HTTP/1.1" 404 784
127.0.0.1 - - [13/Oct/2022:15:19:29 +0100] "GET /webapp-javaee7/MyFirstServlet HTTP/1.1" 404 784
127.0.0.1 - - [13/Oct/2022:15:19:29 +0100] "GET /webapp-javaee7/MyFirstServlet HTTP/1.1" 404 784
